Ion,Hit,Hit Name,Diff.,Mode
728.3501,728.3539896999999,C.Pyrophosphate.NIL.NIL.C12:0_(OH) ketene.C14:0 ketene,5.34,ppm
728.3501,728.3539896999999,C.Pyrophosphate.NIL.NIL.C14:0_(OH) ketene.C12:0 ketene,5.34,ppm
728.3501,728.3539897,C.Pyrophosphate.NIL.NIL.C16:0_(OH) ketene.C10:0 ketene,5.34,ppm
728.3501,728.3539906999999,C.Pyrophosphate.NIL.NIL.C10:0_(OH) ketene.C16:0 ketene,5.342,ppm
666.3855,666.39822351,C.Phosphate.Water.NIL.C12:0_(OH) ketene.C14:0 ketene,19.093,ppm
666.3855,666.39822351,C.Phosphate.Water.NIL.C14:0_(OH) ketene.C12:0 ketene,19.093,ppm
666.3855,666.39822351,C.Phosphate.Water.NIL.C16:0_(OH) ketene.C10:0 ketene,19.093,ppm
666.3855,666.3982245100001,C.Phosphate.Water.NIL.C10:0_(OH) ketene.C16:0 ketene,19.094,ppm
648.3846,648.38765882,C.Phosphate.NIL.NIL.C12:0_(OH) ketene.C14:0 ketene,4.718,ppm
648.3846,648.38765882,C.Phosphate.NIL.NIL.C14:0_(OH) ketene.C12:0 ketene,4.718,ppm
648.3846,648.38765882,C.Phosphate.NIL.NIL.C16:0_(OH) ketene.C10:0 ketene,4.718,ppm
648.3846,648.38765982,C.Phosphate.NIL.NIL.C10:0_(OH) ketene.C16:0 ketene,4.719,ppm
528.1698,528.1763597,C.Pyrophosphate.NIL.NIL.C14:1 ketene.NIL,12.42,ppm
484.229,484.23115851,C.Phosphate.Water.NIL.C14:0_(OH) ketene.NIL,4.458,ppm
466.2267,466.22059382,C.Phosphate.NIL.NIL.C14:0_(OH) ketene.NIL,13.097,ppm
466.2267,466.22059350999996,C.Phosphate.Water.NIL.C14:1 ketene.NIL,13.098,ppm
448.203,448.21002882,C.Phosphate.NIL.NIL.C14:1 ketene.NIL,15.682,ppm
