Parent Ion,Daughter Ion,Neutral Loss,Hit,Hit Name,Diff.
1133.629,1115.613,18.01599999999985,18.01056469,Water,5.435,mDa
1133.629,1053.654,79.97499999999991,79.96633093,Phosphate*d,8.669,mDa
1133.629,1035.646,97.98299999999995,97.97689562,Phosphate,6.104,mDa
1115.613,1097.606,18.007000000000062,18.01056469,Water,3.565,mDa
1115.613,1035.646,79.9670000000001,79.96633093,Phosphate*d,0.669,mDa
1115.613,1017.628,97.98500000000001,97.97689562,Phosphate,8.104,mDa
1115.613,937.6742,177.93880000000001,177.9432265,Pyrophosphate,4.426,mDa
1097.606,1017.628,79.97799999999995,79.96633093,Phosphate*d,11.669,mDa
1097.606,999.6219,97.98410000000001,97.97689562,Phosphate,7.204,mDa
1097.606,937.6742,159.93179999999995,159.9326618,Pyrophosphate*d,0.862,mDa
1097.606,919.6652,177.94079999999997,177.9432265,Pyrophosphate,2.427,mDa
1053.654,1035.646,18.008000000000038,18.01056469,Water,2.565,mDa
1035.646,1017.628,18.017999999999915,18.01056469,Water,7.435,mDa
1035.646,937.6742,97.97179999999992,97.97689562,Phosphate,5.096,mDa
1017.628,999.6219,18.00610000000006,18.01056469,Water,4.465,mDa
1017.628,937.6742,79.9538,79.96633093,Phosphate*d,12.531,mDa
1017.628,919.6652,97.96280000000002,97.97689562,Phosphate,14.096,mDa
999.6219,919.6652,79.95669999999996,79.96633093,Phosphate*d,9.631,mDa
949.4314,851.4579,97.97350000000006,97.97689562,Phosphate,3.396,mDa
949.4314,788.3583,161.07310000000007,161.0688079,GalN*d,4.292,mDa
949.4314,770.3448,179.0866000000001,179.0793726,GalN,7.227,mDa
949.4314,690.3902,259.0412,259.0457035,P+GalN,4.503,mDa
937.6742,919.6652,18.009000000000015,18.01056469,Water,1.565,mDa
933.4471,915.4322,18.01490000000001,18.01056469,Water,4.335,mDa
933.4471,853.4816,79.96550000000002,79.96633093,Phosphate*d,0.831,mDa
933.4471,835.4766,97.97050000000002,97.97689562,Phosphate,6.396,mDa
915.4322,835.4766,79.9556,79.96633093,Phosphate*d,10.731,mDa
915.4322,817.4509,97.98129999999992,97.97689562,Phosphate,4.404,mDa
915.4322,737.4853,177.9468999999999,177.9432265,Pyrophosphate,3.673,mDa
853.4816,835.4766,18.004999999999995,18.01056469,Water,5.565,mDa
851.4579,690.3902,161.06769999999995,161.0688079,GalN*d,1.108,mDa
848.3983,830.3907,18.00759999999991,18.01056469,Water,2.965,mDa
848.3983,768.4222,79.97609999999997,79.96633093,Phosphate*d,9.769,mDa
848.3983,750.4163,97.98199999999997,97.97689562,Phosphate,5.104,mDa
835.4766,737.4853,97.99129999999991,97.97689562,Phosphate,14.404,mDa
830.3907,750.4163,79.97440000000006,79.96633093,Phosphate*d,8.069,mDa
817.4509,799.4314,18.019499999999994,18.01056469,Water,8.935,mDa
817.4509,737.4853,79.9656,79.96633093,Phosphate*d,0.731,mDa
791.438,630.3765,161.06150000000002,161.0688079,GalN*d,7.308,mDa
788.3583,770.3448,18.013500000000022,18.01056469,Water,2.935,mDa
788.3583,690.3902,97.96809999999994,97.97689562,Phosphate,8.796,mDa
770.3448,690.3902,79.95459999999991,79.96633093,Phosphate*d,11.731,mDa
768.4222,750.4163,18.005899999999997,18.01056469,Water,4.665,mDa
728.3501,710.344,18.006099999999947,18.01056469,Water,4.465,mDa
728.3501,648.3846,79.96550000000002,79.96633093,Phosphate*d,0.831,mDa
728.3501,630.3765,97.97360000000003,97.97689562,Phosphate,3.296,mDa
710.344,630.3765,79.96750000000009,79.96633093,Phosphate*d,1.169,mDa
708.412,690.3902,18.021799999999985,18.01056469,Water,11.235,mDa
666.3855,648.3846,18.0009,18.01056469,Water,9.665,mDa
651.2888,490.2155,161.07330000000002,161.0688079,GalN*d,4.492,mDa
648.3846,630.3765,18.008100000000013,18.01056469,Water,2.465,mDa
648.206,568.2446,79.96140000000003,79.96633093,Phosphate*d,4.931,mDa
648.206,550.2417,97.96429999999998,97.97689562,Phosphate,12.596,mDa
570.1861,490.2155,79.97059999999999,79.96633093,Phosphate*d,4.269,mDa
568.2446,550.2417,18.002899999999954,18.01056469,Water,7.665,mDa
528.1698,448.203,79.96680000000003,79.96633093,Phosphate*d,0.469,mDa
528.1698,430.1882,97.98160000000001,97.97689562,Phosphate,4.704,mDa
528.1698,350.2313,177.93850000000003,177.9432265,Pyrophosphate,4.726,mDa
508.2247,490.2155,18.009199999999964,18.01056469,Water,1.365,mDa
508.2247,428.2522,79.97249999999997,79.96633093,Phosphate*d,6.169,mDa
484.229,466.2267,18.00229999999999,18.01056469,Water,8.265,mDa
466.2267,448.203,18.02370000000002,18.01056469,Water,13.135,mDa
448.203,430.1882,18.01479999999998,18.01056469,Water,4.235,mDa
448.203,350.2313,97.9717,97.97689562,Phosphate,5.196,mDa
444.1457,266.2052,177.9405,177.9432265,Pyrophosphate,2.727,mDa
430.1882,350.2313,79.95690000000002,79.96633093,Phosphate*d,9.431,mDa
430.1882,332.2149,97.9733,97.97689562,Phosphate,3.596,mDa
350.2313,332.2149,18.016399999999976,18.01056469,Water,5.835,mDa
244.0836,83.01312,161.07047999999998,161.0688079,GalN*d,1.672,mDa
242.2109,224.2054,18.005500000000012,18.01056469,Water,5.065,mDa
242.2109,199.1726,43.03830000000002,43.04219918,EtN*d,3.899,mDa
222.0091,124.0382,97.97089999999999,97.97689562,Phosphate,5.996,mDa
198.9964,180.9925,18.003899999999987,18.01056469,Water,6.665,mDa
180.9925,83.01312,97.97938,97.97689562,Phosphate,2.484,mDa
176.9345,158.9245,18.01000000000002,18.01056469,Water,0.565,mDa
176.9345,96.9687,79.96580000000002,79.96633093,Phosphate*d,0.531,mDa
176.9345,78.96033,97.97417000000002,97.97689562,Phosphate,2.726,mDa
158.9245,78.96033,79.96417,79.96633093,Phosphate*d,2.161,mDa
96.9687,78.96033,18.00837,18.01056469,Water,2.195,mDa
