m/z,Area
1133.629,30288.0
1132.892,12.0
1132.764,12.0
1130.065,95.0
1115.73,36.0
1115.613,749.0
1097.606,171.0
1053.654,88.0
1036.635,75.0
1035.646,2727.0
1017.628,428.0
999.6219,118.0
949.4314,48.0
937.6742,95.0
933.4471,484.0
919.6652,69.0
915.4322,170.0
897.4373,48.0
853.4816,90.0
851.4579,193.0
848.3983,604.0
835.4766,365.0
830.3907,237.0
817.4509,212.0
799.4314,48.0
791.438,48.0
788.3583,48.0
770.3448,72.0
768.4222,245.0
750.4163,442.0
737.4853,48.0
728.3501,100.0
710.344,36.0
708.412,220.0
690.3902,177.0
666.3855,164.0
651.2888,95.0
648.3846,179.0
648.206,69.0
630.3765,48.0
630.2286,48.0
570.1861,48.0
568.2446,83.0
564.1749,36.0
550.2417,104.0
528.1698,36.0
508.2247,99.0
490.2155,101.0
484.229,158.0
466.3843,48.0
466.2267,70.0
448.203,125.0
444.1457,84.0
430.1882,60.0
428.2522,84.0
388.1859,36.0
350.2313,82.0
332.2149,48.0
266.2052,48.0
248.3458,12.0
244.0836,24.0
242.2109,36.0
240.1931,24.0
224.2054,48.0
222.0091,12.0
199.1726,68.0
198.9964,104.0
180.9925,78.0
176.9345,568.0
166.0512,36.0
158.9245,1992.0
138.983,24.0
124.0382,36.0
96.9687,520.0
83.01312,24.0
78.96033,789.0
78.72736,24.0
