Ion,Hit,Hit Name,Diff.,Mode
1133.629,1133.62664232,Di-glucosamine.Phosphate.Phosphate.Water.NIL.C14:0_(OH) ketene.C12:0 ketene.Water.C14:0_(OH) ketene.NIL,2.08,ppm
1133.629,1133.62664232,Di-glucosamine.Phosphate.Phosphate.Water.NIL.C14:0_(OH) ketene.NIL.Water.C14:0_(OH) ketene.C12:0 ketene,2.08,ppm
1133.629,1133.62664227,Di-glucosamine.Pyrophosphate.Water.Water.NIL.C14:0_(OH) ketene.C12:0 ketene.Water.C14:0_(OH) ketene.NIL,2.08,ppm
1133.629,1133.62664227,Di-glucosamine.Pyrophosphate.Water.Water.NIL.C14:0_(OH) ketene.NIL.Water.C14:0_(OH) ketene.C12:0 ketene,2.08,ppm
1133.629,1133.62664227,Di-glucosamine.Water.Pyrophosphate.Water.NIL.C14:0_(OH) ketene.C12:0 ketene.Water.C14:0_(OH) ketene.NIL,2.08,ppm
1133.629,1133.62664227,Di-glucosamine.Water.Pyrophosphate.Water.NIL.C14:0_(OH) ketene.NIL.Water.C14:0_(OH) ketene.C12:0 ketene,2.08,ppm
