Ion,Hit,Hit Name,Diff.,Mode
1036.635,1036.63376352,04A2.Phosphate.C12:0_(OH) acid.C12:0_(OH) ketene.C10:0_(OH) ketene.C10:0_(OH) ketene,1.193,ppm
788.3583,788.37511909,04A2.Pyrophosphate.Water.NIL.C12:0_(OH) ketene.C14:0 ketene,21.334,ppm
788.3583,788.37511909,04A2.Pyrophosphate.Water.NIL.C14:0_(OH) ketene.C12:0 ketene,21.334,ppm
788.3583,788.37511909,04A2.Pyrophosphate.Water.NIL.C16:0_(OH) ketene.C10:0 ketene,21.334,ppm
788.3583,788.3751200900001,04A2.Pyrophosphate.Water.NIL.C10:0_(OH) ketene.C16:0 ketene,21.335,ppm
770.3448,770.3645544,04A2.Pyrophosphate.NIL.NIL.C12:0_(OH) ketene.C14:0 ketene,25.643,ppm
770.3448,770.3645544,04A2.Pyrophosphate.NIL.NIL.C14:0_(OH) ketene.C12:0 ketene,25.643,ppm
770.3448,770.3645544000001,04A2.Pyrophosphate.NIL.NIL.C16:0_(OH) ketene.C10:0 ketene,25.643,ppm
770.3448,770.3645554,04A2.Pyrophosphate.NIL.NIL.C10:0_(OH) ketene.C16:0 ketene,25.644,ppm
708.412,708.4087892100001,04A2.Phosphate.Water.NIL.C10:0_(OH) ketene.C16:0 ketene,4.532,ppm
708.412,708.40878821,04A2.Phosphate.Water.NIL.C12:0_(OH) ketene.C14:0 ketene,4.534,ppm
708.412,708.40878821,04A2.Phosphate.Water.NIL.C14:0_(OH) ketene.C12:0 ketene,4.534,ppm
708.412,708.40878821,04A2.Phosphate.Water.NIL.C16:0_(OH) ketene.C10:0 ketene,4.534,ppm
690.3902,690.39822352,04A2.Phosphate.NIL.NIL.C12:0_(OH) ketene.C14:0 ketene,11.622,ppm
690.3902,690.39822352,04A2.Phosphate.NIL.NIL.C14:0_(OH) ketene.C12:0 ketene,11.622,ppm
690.3902,690.39822352,04A2.Phosphate.NIL.NIL.C16:0_(OH) ketene.C10:0 ketene,11.622,ppm
690.3902,690.39822452,04A2.Phosphate.NIL.NIL.C10:0_(OH) ketene.C16:0 ketene,11.623,ppm
570.1861,570.1869244000001,04A2.Pyrophosphate.NIL.NIL.C14:1 ketene.NIL,1.446,ppm
508.2247,508.23115821,04A2.Phosphate.Water.NIL.C14:1 ketene.NIL,12.707,ppm
508.2247,508.23115852,04A2.Phosphate.NIL.NIL.C14:0_(OH) ketene.NIL,12.708,ppm
490.2155,490.22059351999997,04A2.Phosphate.NIL.NIL.C14:1 ketene.NIL,10.39,ppm
428.2522,428.26482727999996,04A2.Water.Water.NIL.C14:1 ketene.NIL,29.485,ppm
428.2522,428.26482759,04A2.Water.NIL.NIL.C14:0_(OH) ketene.NIL,29.485,ppm
