Ion,Hit,Hit Name,Diff.,Mode
1053.663,1053.6603120099999,Di-glucosamine.Phosphate.Water.C12:0_(OH) acid.C14:0 ketene.NIL.NIL.C14:0_(OH) acid.NIL.NIL,2.551,ppm
1053.663,1053.6603120099999,Di-glucosamine.Phosphate.Water.C14:0_(OH) acid.C12:0 ketene.NIL.NIL.C14:0_(OH) acid.NIL.NIL,2.551,ppm
1053.663,1053.6603120099999,Di-glucosamine.Phosphate.Water.C14:0_(OH) acid.C14:0 ketene.NIL.NIL.C12:0_(OH) acid.NIL.NIL,2.551,ppm
1053.663,1053.6603120099999,Di-glucosamine.Water.Phosphate.C12:0_(OH) acid.C14:0 ketene.NIL.NIL.C14:0_(OH) acid.NIL.NIL,2.551,ppm
1053.663,1053.6603120099999,Di-glucosamine.Water.Phosphate.C14:0_(OH) acid.C12:0 ketene.NIL.NIL.C14:0_(OH) acid.NIL.NIL,2.551,ppm
1053.663,1053.6603120099999,Di-glucosamine.Water.Phosphate.C14:0_(OH) acid.C14:0 ketene.NIL.NIL.C12:0_(OH) acid.NIL.NIL,2.551,ppm
1053.663,1053.6603117000002,Di-glucosamine.Phosphate.Water.C12:0_(OH) acid.NIL.NIL.NIL.Water.C16:0_(OH) ketene.C12:0 ketene,2.551,ppm
1053.663,1053.6603117000002,Di-glucosamine.Phosphate.Water.Water.NIL.NIL.NIL.C12:0_(OH) acid.C16:0_(OH) ketene.C12:0 ketene,2.551,ppm
1053.663,1053.6603117000002,Di-glucosamine.Water.Phosphate.C12:0_(OH) acid.NIL.NIL.NIL.Water.C16:0_(OH) ketene.C12:0 ketene,2.551,ppm
1053.663,1053.6603117000002,Di-glucosamine.Water.Phosphate.Water.NIL.NIL.NIL.C12:0_(OH) acid.C16:0_(OH) ketene.C12:0 ketene,2.551,ppm
1053.663,1053.6603117,Di-glucosamine.Phosphate.Water.C12:0_(OH) acid.C12:0 ketene.NIL.NIL.Water.C16:0_(OH) ketene.NIL,2.551,ppm
1053.663,1053.6603117,Di-glucosamine.Phosphate.Water.C12:0_(OH) acid.C14:0 ketene.C14:0_(OH) ketene.NIL.Water.NIL.NIL,2.551,ppm
1053.663,1053.6603117,Di-glucosamine.Phosphate.Water.C12:0_(OH) acid.C14:0 ketene.NIL.NIL.Water.C14:0_(OH) ketene.NIL,2.551,ppm
1053.663,1053.6603117,Di-glucosamine.Phosphate.Water.C12:0_(OH) acid.NIL.C14:0_(OH) ketene.C14:0 ketene.Water.NIL.NIL,2.551,ppm
1053.663,1053.6603117,Di-glucosamine.Phosphate.Water.C12:0_(OH) acid.NIL.NIL.NIL.Water.C14:0_(OH) ketene.C14:0 ketene,2.551,ppm
