Di-glucosamine.Phosphate.Water.Water.NIL.C14:0_(OH) ketene.C12:0 ketene.Water.C14:0_(OH) ketene.NIL,"{'Sugar': 'Di-glucosamine', ""C4' Headgroup"": 'Phosphate', 'C1 Headgroup': 'Water', ""C3' FA"": 'Water', ""C3' Sec FA"": 'NIL', ""C2' ketene"": 'C14:0_(OH) ketene', ""C2' Sec FA"": 'C12:0 ketene', 'C3 FA': 'Water', 'C2 ketene': 'C14:0_(OH) ketene', 'C2 Sec FA': 'NIL'}",1053.663,1053.66031139,2.552 ppm,Di-glucosamine,Phosphate,Water,Water,NIL,C14:0_(OH) ketene,C12:0 ketene,Water,C14:0_(OH) ketene,NIL,0,0.922,12,92.2
Di-glucosamine.Phosphate.Water.C14:0_(OH) acid.NIL.C14:0_(OH) ketene.C12:0 ketene.Water.NIL.NIL,"{'Sugar': 'Di-glucosamine', ""C4' Headgroup"": 'Phosphate', 'C1 Headgroup': 'Water', ""C3' FA"": 'C14:0_(OH) acid', ""C3' Sec FA"": 'NIL', ""C2' ketene"": 'C14:0_(OH) ketene', ""C2' Sec FA"": 'C12:0 ketene', 'C3 FA': 'Water', 'C2 ketene': 'NIL', 'C2 Sec FA': 'NIL'}",1053.663,1053.6603117,2.551 ppm,Di-glucosamine,Phosphate,Water,C14:0_(OH) acid,NIL,C14:0_(OH) ketene,C12:0 ketene,Water,NIL,NIL,18.3,0.869,11,71.0
