m/z,Area
1279.866,8671.0
1279.853,123456
1279.339,12.0
1279.199,12.0
1279.088,10.0
1278.873,24.0
1277.859,36.0
1275.809,60.0
1262.877,36.0
1261.84,558.0
1243.852,36.0
1095.661,69.0
1079.656,85.0
1077.656,60.0
1061.668,48.0
1054.653,48.0
1053.651,436.0
1036.637,169.0
1035.653,9048.0
1032.418,65.0
1018.624,36.0
1017.639,500.0
1000.631,36.0
999.6103,72.0
994.6305,1201.0
976.606,97.0
937.6888,36.0
934.6151,48.0
853.5119,48.0
851.4636,60.0
835.4741,237.0
817.4644,76.0
811.4502,36.0
810.4393,122.0
794.454,80.0
792.4345,60.0
791.4276,48.0
774.4405,36.0
769.4313,48.0
768.4275,843.0
750.4215,1579.0
737.4866,36.0
719.4915,36.0
709.4108,60.0
708.4133,1319.0
691.3909,36.0
690.3989,387.0
666.3903,69.0
648.4001,91.0
630.3812,48.0
586.2768,36.0
568.249,106.0
550.2428,104.0
508.2257,205.0
490.2227,137.0
448.2039,60.0
430.1977,73.0
428.2618,69.0
410.2528,48.0
350.232,36.0
326.2382,36.0
308.2272,36.0
284.2475,36.0
244.0907,12.0
243.2147,36.0
242.9544,12.0
242.4254,12.0
242.2136,157.0
224.2101,24.0
222.0179,24.0
199.1691,65.0
199.0068,24.0
183.172,36.0
180.9967,48.0
166.0552,24.0
124.0369,24.0
96.97035,437.0
78.96056,889.0
78.72012,24.0
