Di-glucosamine.Phosphate.Water.C14:0_(OH) acid.NIL.C14:0_(OH) ketene.C12:0 ketene.Water.C14:0_(OH) ketene.NIL,"{'Sugar': 'Di-glucosamine', ""C4' Headgroup"": 'Phosphate', 'C1 Headgroup': 'Water', ""C3' FA"": 'C14:0_(OH) acid', ""C3' Sec FA"": 'NIL', ""C2' ketene"": 'C14:0_(OH) ketene', ""C2' Sec FA"": 'C12:0 ketene', 'C3 FA': 'Water', 'C2 ketene': 'C14:0_(OH) ketene', 'C2 Sec FA': 'NIL'}",1279.853,1279.8535917,0.462 ppm,Di-glucosamine,Phosphate,Water,C14:0_(OH) acid,NIL,C14:0_(OH) ketene,C12:0 ketene,Water,C14:0_(OH) ketene,NIL,0,0.862,19,86.2
Di-glucosamine.Phosphate.Water.Water.NIL.C14:0_(OH) ketene.C12:0 ketene.Water.C14:0_(OH) ketene.C14:0_(OH) ketene,"{'Sugar': 'Di-glucosamine', ""C4' Headgroup"": 'Phosphate', 'C1 Headgroup': 'Water', ""C3' FA"": 'Water', ""C3' Sec FA"": 'NIL', ""C2' ketene"": 'C14:0_(OH) ketene', ""C2' Sec FA"": 'C12:0 ketene', 'C3 FA': 'Water', 'C2 ketene': 'C14:0_(OH) ketene', 'C2 Sec FA': 'C14:0_(OH) ketene'}",1279.853,1279.85359139,0.462 ppm,Di-glucosamine,Phosphate,Water,Water,NIL,C14:0_(OH) ketene,C12:0 ketene,Water,C14:0_(OH) ketene,C14:0_(OH) ketene,0,0.772,15,77.2
Di-glucosamine.Phosphate.Water.Water.NIL.C14:0_(OH) ketene.C12:0 ketene.C14:0_(OH) acid.C14:0_(OH) ketene.NIL,"{'Sugar': 'Di-glucosamine', ""C4' Headgroup"": 'Phosphate', 'C1 Headgroup': 'Water', ""C3' FA"": 'Water', ""C3' Sec FA"": 'NIL', ""C2' ketene"": 'C14:0_(OH) ketene', ""C2' Sec FA"": 'C12:0 ketene', 'C3 FA': 'C14:0_(OH) acid', 'C2 ketene': 'C14:0_(OH) ketene', 'C2 Sec FA': 'NIL'}",1279.853,1279.8535917,0.462 ppm,Di-glucosamine,Phosphate,Water,Water,NIL,C14:0_(OH) ketene,C12:0 ketene,C14:0_(OH) acid,C14:0_(OH) ketene,NIL,0,0.717,16,71.7
Di-glucosamine.Phosphate.Water.C14:0_(OH) acid.C14:0_(OH) ketene.C14:0_(OH) ketene.C12:0 ketene.Water.NIL.NIL,"{'Sugar': 'Di-glucosamine', ""C4' Headgroup"": 'Phosphate', 'C1 Headgroup': 'Water', ""C3' FA"": 'C14:0_(OH) acid', ""C3' Sec FA"": 'C14:0_(OH) ketene', ""C2' ketene"": 'C14:0_(OH) ketene', ""C2' Sec FA"": 'C12:0 ketene', 'C3 FA': 'Water', 'C2 ketene': 'NIL', 'C2 Sec FA': 'NIL'}",1279.853,1279.8535917,0.462 ppm,Di-glucosamine,Phosphate,Water,C14:0_(OH) acid,C14:0_(OH) ketene,C14:0_(OH) ketene,C12:0 ketene,Water,NIL,NIL,15.0,0.761,15,64.7
Di-glucosamine.Phosphate.Water.C14:0_(OH) acid.NIL.C14:0_(OH) ketene.C12:0 ketene.C14:0_(OH) acid.NIL.NIL,"{'Sugar': 'Di-glucosamine', ""C4' Headgroup"": 'Phosphate', 'C1 Headgroup': 'Water', ""C3' FA"": 'C14:0_(OH) acid', ""C3' Sec FA"": 'NIL', ""C2' ketene"": 'C14:0_(OH) ketene', ""C2' Sec FA"": 'C12:0 ketene', 'C3 FA': 'C14:0_(OH) acid', 'C2 ketene': 'NIL', 'C2 Sec FA': 'NIL'}",1279.853,1279.85359201,0.463 ppm,Di-glucosamine,Phosphate,Water,C14:0_(OH) acid,NIL,C14:0_(OH) ketene,C12:0 ketene,C14:0_(OH) acid,NIL,NIL,13.8,0.696,15,60.1
