Parent Ion,Daughter Ion,Neutral Loss,Hit,Hit Name,Diff.
1279.866,1035.653,244.21299999999997,244.203845,C14:0_(OH) acid,9.155,mDa
1279.853,1053.651,226.202,226.19328,C14:0_(OH) ketene,8.72,mDa
1279.853,1035.653,244.20000000000005,244.203845,C14:0_(OH) acid,3.845,mDa
1278.873,1054.653,224.22000000000003,224.214016,C15:0 ketene,5.984,mDa
1278.873,1036.637,242.2360000000001,242.22458,C15:0 acid,11.42,mDa
1277.859,1053.651,224.20799999999986,224.214016,C15:0 ketene,6.016,mDa
1275.809,1095.661,180.1479999999999,180.151415,C12:1 ketene,3.415,mDa
1275.809,1077.656,198.15300000000002,198.16198,C12:0_(OH) ketene,8.98,mDa
1261.84,1061.668,200.17200000000003,200.17763,C12:0 acid,5.63,mDa
1261.84,1053.651,208.18899999999985,208.182715,C14:1 ketene,6.285,mDa
1261.84,1035.653,226.1869999999999,226.19328,C14:0_(OH) ketene,6.28,mDa
1261.84,1017.639,244.2009999999999,244.203845,C14:0_(OH) acid,2.845,mDa
1095.661,851.4636,244.19740000000002,244.203845,C14:0_(OH) acid,6.445,mDa
1077.656,851.4636,226.1923999999999,226.19328,C14:0_(OH) ketene,0.88,mDa
1061.668,851.4636,210.20439999999985,210.198365,C14:0 ketene,6.035,mDa
1061.668,835.4741,226.19389999999987,226.19328,C14:0_(OH) ketene,0.62,mDa
1061.668,817.4644,244.20359999999994,244.203845,C14:0_(OH) acid,0.245,mDa
1054.653,810.4393,244.21370000000002,244.203845,C14:0_(OH) acid,9.855,mDa
1036.637,810.4393,226.19769999999994,226.19328,C14:0_(OH) ketene,4.42,mDa
1036.637,792.4345,244.2025,244.203845,C14:0_(OH) acid,1.345,mDa
1035.653,835.4741,200.1789,200.17763,C12:0 acid,1.27,mDa
1035.653,811.4502,224.20280000000002,224.214016,C15:0 ketene,11.216,mDa
1018.624,810.4393,208.18470000000002,208.182715,C14:1 ketene,1.985,mDa
1018.624,792.4345,226.18950000000007,226.19328,C14:0_(OH) ketene,3.78,mDa
1017.639,835.4741,182.1649,182.167065,C12:0 ketene,2.165,mDa
1017.639,817.4644,200.17460000000005,200.17763,C12:0 acid,3.03,mDa
1000.631,792.4345,208.19650000000001,208.182715,C14:1 ketene,13.785,mDa
1000.631,774.4405,226.19049999999993,226.19328,C14:0_(OH) ketene,2.78,mDa
999.6103,791.4276,208.18270000000007,208.182715,C14:1 ketene,0.015,mDa
999.6103,769.4313,230.1790000000001,230.188195,C13:0_(OH) acid,9.195,mDa
994.6305,794.454,200.17650000000003,200.17763,C12:0 acid,1.13,mDa
994.6305,768.4275,226.20299999999997,226.19328,C14:0_(OH) ketene,9.72,mDa
994.6305,750.4215,244.20899999999995,244.203845,C14:0_(OH) acid,5.155,mDa
976.606,774.4405,202.16549999999995,202.156895,C11:0_(OH) acid,8.605,mDa
976.606,768.4275,208.17849999999999,208.182715,C14:1 ketene,4.215,mDa
976.606,750.4215,226.18449999999996,226.19328,C14:0_(OH) ketene,8.78,mDa
934.6151,708.4133,226.20179999999993,226.19328,C14:0_(OH) ketene,8.52,mDa
934.6151,690.3989,244.21619999999996,244.203845,C14:0_(OH) acid,12.355,mDa
794.454,586.2768,208.17719999999997,208.182715,C14:1 ketene,5.515,mDa
794.454,568.249,226.20499999999993,226.19328,C14:0_(OH) ketene,11.72,mDa
794.454,550.2428,244.21119999999996,244.203845,C14:0_(OH) acid,7.355,mDa
768.4275,568.249,200.17849999999999,200.17763,C12:0 acid,0.87,mDa
750.4215,568.249,182.1725,182.167065,C12:0 ketene,5.435,mDa
750.4215,550.2428,200.17870000000005,200.17763,C12:0 acid,1.07,mDa
708.4133,508.2257,200.18760000000003,200.17763,C12:0 acid,9.97,mDa
690.3989,508.2257,182.1732,182.167065,C12:0 ketene,6.135,mDa
690.3989,490.2227,200.17620000000005,200.17763,C12:0 acid,1.43,mDa
630.3812,448.2039,182.17730000000006,182.167065,C12:0 ketene,10.235,mDa
630.3812,430.1977,200.18350000000004,200.17763,C12:0 acid,5.87,mDa
