Ion,Hit,Hit Name,Diff.,Mode
994.6305,994.62319882,C.Phosphate.C12:0_(OH) acid.C12:0_(OH) ketene.C10:0_(OH) ketene.C10:0_(OH) ketene,7.341,ppm
976.606,976.6126338199999,C.Phosphate.C12:0_(OH) acid.C12:0_(OH) ketene.C10:0_(OH) ketene.C10:1 ketene,6.793,ppm
934.6151,934.6384538200001,C.Phosphate.C14:0_(OH) acid.NIL.C16:0_(OH) ketene.C13:0 ketene,24.987,ppm
934.6151,934.63845482,C.Phosphate.C12:0_(OH) acid.NIL.C16:0_(OH) ketene.C15:0 ketene,24.988,ppm
934.6151,934.63845482,C.Phosphate.C14:0_(OH) acid.NIL.C14:0_(OH) ketene.C15:0 ketene,24.988,ppm
774.4405,774.45573882,C.Phosphate.C12:1 acid.NIL.C10:0_(OH) ketene.C11:1 ketene,19.677,ppm
666.3903,666.39822351,C.Phosphate.Water.NIL.C12:0_(OH) ketene.C14:0 ketene,11.89,ppm
666.3903,666.39822351,C.Phosphate.Water.NIL.C14:0_(OH) ketene.C12:0 ketene,11.89,ppm
666.3903,666.39822351,C.Phosphate.Water.NIL.C16:0_(OH) ketene.C10:0 ketene,11.89,ppm
666.3903,666.39822382,C.Phosphate.C12:0_(OH) acid.C14:0 ketene.NIL.NIL,11.891,ppm
666.3903,666.39822382,C.Phosphate.C14:0_(OH) acid.C12:0 ketene.NIL.NIL,11.891,ppm
666.3903,666.3982245100001,C.Phosphate.Water.NIL.C10:0_(OH) ketene.C16:0 ketene,11.892,ppm
648.4001,648.38765982,C.Phosphate.NIL.NIL.C10:0_(OH) ketene.C16:0 ketene,19.186,ppm
648.4001,648.38765882,C.Phosphate.NIL.NIL.C12:0_(OH) ketene.C14:0 ketene,19.188,ppm
648.4001,648.38765882,C.Phosphate.NIL.NIL.C14:0_(OH) ketene.C12:0 ketene,19.188,ppm
648.4001,648.38765882,C.Phosphate.NIL.NIL.C16:0_(OH) ketene.C10:0 ketene,19.188,ppm
448.2039,448.21002882,C.Phosphate.NIL.NIL.C14:1 ketene.NIL,13.674,ppm
