Parent Ion,Daughter Ion,Neutral Loss,Hit,Hit Name,Diff.
1279.853,1261.84,18.013000000000147,18.01056469,Water,2.435,mDa
1095.661,1077.656,18.00500000000011,18.01056469,Water,5.565,mDa
1061.668,1018.624,43.04399999999987,43.04219918,EtN*d,1.801,mDa
1054.653,1036.637,18.016000000000076,18.01056469,Water,5.435,mDa
1053.651,1035.653,17.998000000000047,18.01056469,Water,12.565,mDa
1036.637,1018.624,18.01299999999992,18.01056469,Water,2.435,mDa
1035.653,1017.639,18.01400000000001,18.01056469,Water,3.435,mDa
1035.653,937.6888,97.9642,97.97689562,Phosphate,12.696,mDa
994.6305,976.606,18.02449999999999,18.01056469,Water,13.935,mDa
851.4636,690.3989,161.06470000000002,161.0688079,GalN*d,4.108,mDa
835.4741,817.4644,18.009700000000066,18.01056469,Water,0.865,mDa
835.4741,792.4345,43.039600000000064,43.04219918,EtN*d,2.599,mDa
835.4741,737.4866,97.98750000000007,97.97689562,Phosphate,10.604,mDa
817.4644,737.4866,79.9778,79.96633093,Phosphate*d,11.469,mDa
817.4644,719.4915,97.97289999999998,97.97689562,Phosphate,3.996,mDa
810.4393,792.4345,18.004800000000046,18.01056469,Water,5.765,mDa
768.4275,750.4215,18.005999999999972,18.01056469,Water,4.565,mDa
709.4108,691.3909,18.019900000000007,18.01056469,Water,9.335,mDa
708.4133,690.3989,18.014400000000023,18.01056469,Water,3.835,mDa
648.4001,630.3812,18.018899999999917,18.01056469,Water,8.335,mDa
568.249,550.2428,18.006200000000035,18.01056469,Water,4.365,mDa
508.2257,490.2227,18.003000000000043,18.01056469,Water,7.565,mDa
508.2257,428.2618,79.96390000000002,79.96633093,Phosphate*d,2.431,mDa
508.2257,410.2528,97.97290000000004,97.97689562,Phosphate,3.996,mDa
490.2227,410.2528,79.9699,79.96633093,Phosphate*d,3.569,mDa
448.2039,430.1977,18.00619999999998,18.01056469,Water,4.365,mDa
448.2039,350.232,97.97189999999995,97.97689562,Phosphate,4.996,mDa
430.1977,350.232,79.96569999999997,79.96633093,Phosphate*d,0.631,mDa
428.2618,410.2528,18.009000000000015,18.01056469,Water,1.565,mDa
326.2382,308.2272,18.011000000000024,18.01056469,Water,0.435,mDa
242.2136,224.2101,18.003500000000003,18.01056469,Water,7.065,mDa
242.2136,199.1691,43.04450000000003,43.04219918,EtN*d,2.301,mDa
222.0179,124.0369,97.981,97.97689562,Phosphate,4.104,mDa
199.0068,180.9967,18.010099999999994,18.01056469,Water,0.465,mDa
96.97035,78.96056,18.009789999999995,18.01056469,Water,0.775,mDa
