Di-glucosamine.Phosphate.Water.Water.NIL.C14:0_(OH) ketene.C12:0 ketene.C14:0_(OH) acid.C14:0_(OH) ketene.NIL,"{'Sugar': 'Di-glucosamine', ""C4' Headgroup"": 'Phosphate', 'C1 Headgroup': 'Water', ""C3' FA"": 'Water', ""C3' Sec FA"": 'NIL', ""C2' ketene"": 'C14:0_(OH) ketene', ""C2' Sec FA"": 'C12:0 ketene', 'C3 FA': 'C14:0_(OH) acid', 'C2 ketene': 'C14:0_(OH) ketene', 'C2 Sec FA': 'NIL'}",1279.856,1279.8535917,1.882 ppm,Di-glucosamine,Phosphate,Water,Water,NIL,C14:0_(OH) ketene,C12:0 ketene,C14:0_(OH) acid,C14:0_(OH) ketene,NIL,0,0.62,13,62.0
Di-glucosamine.Phosphate.Water.C14:0_(OH) acid.NIL.C14:0_(OH) ketene.C12:0 ketene.Water.C14:0_(OH) ketene.NIL,"{'Sugar': 'Di-glucosamine', ""C4' Headgroup"": 'Phosphate', 'C1 Headgroup': 'Water', ""C3' FA"": 'C14:0_(OH) acid', ""C3' Sec FA"": 'NIL', ""C2' ketene"": 'C14:0_(OH) ketene', ""C2' Sec FA"": 'C12:0 ketene', 'C3 FA': 'Water', 'C2 ketene': 'C14:0_(OH) ketene', 'C2 Sec FA': 'NIL'}",1279.856,1279.8535917,1.882 ppm,Di-glucosamine,Phosphate,Water,C14:0_(OH) acid,NIL,C14:0_(OH) ketene,C12:0 ketene,Water,C14:0_(OH) ketene,NIL,12.5,0.624,13,54.6
Di-glucosamine.Phosphate.Water.C14:0_(OH) acid.NIL.C14:0_(OH) ketene.C12:0 ketene.C14:0_(OH) acid.NIL.NIL,"{'Sugar': 'Di-glucosamine', ""C4' Headgroup"": 'Phosphate', 'C1 Headgroup': 'Water', ""C3' FA"": 'C14:0_(OH) acid', ""C3' Sec FA"": 'NIL', ""C2' ketene"": 'C14:0_(OH) ketene', ""C2' Sec FA"": 'C12:0 ketene', 'C3 FA': 'C14:0_(OH) acid', 'C2 ketene': 'NIL', 'C2 Sec FA': 'NIL'}",1279.856,1279.85359201,1.881 ppm,Di-glucosamine,Phosphate,Water,C14:0_(OH) acid,NIL,C14:0_(OH) ketene,C12:0 ketene,C14:0_(OH) acid,NIL,NIL,15.0,0.557,9,47.3
Di-glucosamine.Phosphate.Water.Water.NIL.C14:0_(OH) ketene.C12:0 ketene.Water.C14:0_(OH) ketene.C14:0_(OH) ketene,"{'Sugar': 'Di-glucosamine', ""C4' Headgroup"": 'Phosphate', 'C1 Headgroup': 'Water', ""C3' FA"": 'Water', ""C3' Sec FA"": 'NIL', ""C2' ketene"": 'C14:0_(OH) ketene', ""C2' Sec FA"": 'C12:0 ketene', 'C3 FA': 'Water', 'C2 ketene': 'C14:0_(OH) ketene', 'C2 Sec FA': 'C14:0_(OH) ketene'}",1279.856,1279.85359139,1.882 ppm,Di-glucosamine,Phosphate,Water,Water,NIL,C14:0_(OH) ketene,C12:0 ketene,Water,C14:0_(OH) ketene,C14:0_(OH) ketene,0,0.433,10,43.3
