Ion,Hit,Hit Name,Diff.,Mode
1036.66,1036.63376352,04A2.Phosphate.C12:0_(OH) acid.C12:0_(OH) ketene.C10:0_(OH) ketene.C10:0_(OH) ketene,25.309,ppm
976.6409,976.6490185200001,04A2.Phosphate.C14:0_(OH) acid.NIL.C16:0_(OH) ketene.C13:0 ketene,8.313,ppm
976.6409,976.64901952,04A2.Phosphate.C12:0_(OH) acid.NIL.C16:0_(OH) ketene.C15:0 ketene,8.314,ppm
976.6409,976.64901952,04A2.Phosphate.C14:0_(OH) acid.NIL.C14:0_(OH) ketene.C15:0 ketene,8.314,ppm
794.4618,794.48195321,04A2.Phosphate.Water.NIL.C16:0_(OH) ketene.C15:0_(OH) ketene,25.366,ppm
708.4095,708.4087892100001,04A2.Phosphate.Water.NIL.C10:0_(OH) ketene.C16:0 ketene,1.003,ppm
708.4095,708.40878852,04A2.Phosphate.C12:0_(OH) acid.C14:0 ketene.NIL.NIL,1.004,ppm
708.4095,708.40878852,04A2.Phosphate.C14:0_(OH) acid.C12:0 ketene.NIL.NIL,1.004,ppm
708.4095,708.40878821,04A2.Phosphate.Water.NIL.C12:0_(OH) ketene.C14:0 ketene,1.005,ppm
708.4095,708.40878821,04A2.Phosphate.Water.NIL.C14:0_(OH) ketene.C12:0 ketene,1.005,ppm
708.4095,708.40878821,04A2.Phosphate.Water.NIL.C16:0_(OH) ketene.C10:0 ketene,1.005,ppm
690.3914,690.39822352,04A2.Phosphate.NIL.NIL.C12:0_(OH) ketene.C14:0 ketene,9.883,ppm
690.3914,690.39822352,04A2.Phosphate.NIL.NIL.C14:0_(OH) ketene.C12:0 ketene,9.883,ppm
690.3914,690.39822352,04A2.Phosphate.NIL.NIL.C16:0_(OH) ketene.C10:0 ketene,9.883,ppm
690.3914,690.39822452,04A2.Phosphate.NIL.NIL.C10:0_(OH) ketene.C16:0 ketene,9.885,ppm
508.2319,508.23115852,04A2.Phosphate.C14:1 acid.NIL.NIL.NIL,1.459,ppm
508.2319,508.23115852,04A2.Phosphate.NIL.NIL.C14:0_(OH) ketene.NIL,1.459,ppm
508.2319,508.23115821,04A2.Phosphate.Water.NIL.C14:1 ketene.NIL,1.46,ppm
410.2584,410.25426259,04A2.Water.NIL.NIL.C14:1 ketene.NIL,10.085,ppm
