Parent Ion,Daughter Ion,Neutral Loss,Hit,Hit Name,Diff.
1241.513,1030.484,211.029,211.0245741,P+Ara4N*d,4.426,mDa
1079.706,1036.66,43.04599999999982,43.04219918,EtN*d,3.801,mDa
1053.674,1035.652,18.021999999999935,18.01056469,Water,11.435,mDa
1035.652,1017.648,18.00400000000002,18.01056469,Water,6.565,mDa
1017.648,999.6323,18.015700000000038,18.01056469,Water,5.135,mDa
835.4699,792.4383,43.031600000000026,43.04219918,EtN*d,10.599,mDa
810.4552,792.4383,18.016899999999964,18.01056469,Water,6.335,mDa
708.4095,690.3914,18.018100000000004,18.01056469,Water,7.535,mDa
666.4011,648.3893,18.011799999999994,18.01056469,Water,1.235,mDa
508.2319,410.2584,97.9735,97.97689562,Phosphate,3.396,mDa
242.2157,224.2037,18.012,18.01056469,Water,1.435,mDa
242.2157,199.175,43.04069999999999,43.04219918,EtN*d,1.499,mDa
216.3699,198.3521,18.017799999999994,18.01056469,Water,7.235,mDa
199.0028,180.9929,18.009900000000016,18.01056469,Water,0.665,mDa
199.0028,101.0396,97.96320000000001,97.97689562,Phosphate,13.696,mDa
180.9929,101.0396,79.9533,79.96633093,Phosphate*d,13.031,mDa
96.96896,78.9593,18.009659999999997,18.01056469,Water,0.905,mDa
