Parent Ion,Daughter Ion,Neutral Loss,Hit,Hit Name,Diff.
1279.856,1053.674,226.18200000000002,226.19328,C14:0_(OH) ketene,11.28,mDa
1279.856,1035.652,244.20399999999995,244.203845,C14:0_(OH) acid,0.155,mDa
1180.799,994.6259,186.17309999999998,186.16198,C11:0 acid,11.12,mDa
1036.66,810.4552,226.2048000000001,226.19328,C14:0_(OH) ketene,11.52,mDa
1035.652,835.4699,200.1821,200.17763,C12:0 acid,4.47,mDa
1017.648,835.4699,182.17809999999997,182.167065,C12:0 ketene,11.035,mDa
1017.648,817.4763,200.1717,200.17763,C12:0 acid,5.93,mDa
999.6323,817.4763,182.15599999999995,182.167065,C12:0 ketene,11.065,mDa
994.6259,794.4618,200.16409999999996,200.17763,C12:0 acid,13.53,mDa
994.6259,750.4137,244.21220000000005,244.203845,C14:0_(OH) acid,8.355,mDa
976.6409,794.4618,182.17909999999995,182.167065,C12:0 ketene,12.035,mDa
976.6409,768.4546,208.18629999999996,208.182715,C14:1 ketene,3.585,mDa
750.4137,550.2394,200.1742999999999,200.17763,C12:0 acid,3.33,mDa
708.4095,508.2319,200.17759999999998,200.17763,C12:0 acid,0.03,mDa
690.3914,508.2319,182.15949999999998,182.167065,C12:0 ketene,7.565,mDa
648.3893,448.2127,200.17660000000006,200.17763,C12:0 acid,1.03,mDa
