m/z,Area
1279.856,457.0
1261.83,24.0
1254.464,6.0
1241.513,6.0
1196.967,6.0
1195.04,6.0
1180.799,6.0
1156.143,6.0
1141.386,6.0
1118.01,6.0
1108.769,6.0
1103.337,6.0
1095.67,30.0
1079.706,6.0
1053.674,6.0
1036.66,24.0
1035.652,246.0
1032.386,12.0
1030.484,6.0
1018.283,6.0
1017.648,65.0
999.6323,18.0
995.6173,30.0
994.6259,216.0
994.4533,6.0
994.2498,6.0
992.954,6.0
991.4999,12.0
981.2943,6.0
976.6409,24.0
973.6616,6.0
970.3328,6.0
963.6617,6.0
960.2065,6.0
943.5969,6.0
941.4431,6.0
937.8132,6.0
937.7015,6.0
930.9639,6.0
835.4699,24.0
817.4763,12.0
810.4552,12.0
794.4618,18.0
792.4383,18.0
768.4546,18.0
750.4137,40.0
708.4095,106.0
690.3914,12.0
666.4011,18.0
648.3893,24.0
550.2394,12.0
508.2319,24.0
448.2127,12.0
410.2584,12.0
254.6454,6.0
245.0254,6.0
244.808,6.0
242.2157,12.0
238.8256,6.0
228.2852,6.0
224.2037,12.0
217.846,12.0
216.3699,6.0
212.7447,6.0
200.8597,6.0
200.645,6.0
199.175,12.0
199.0028,12.0
198.3521,6.0
180.9929,12.0
150.4862,12.0
143.0452,12.0
101.0396,12.0
96.96896,45.0
78.9593,85.0
