Ion,Hit,Hit Name,Diff.,Mode
976.6409,976.6126341199999,B.Phosphate.C12:0_(OH) acid.C12:0_(OH) ketene.C10:0_(OH) ketene.C10:0_(OH) ketene,28.942,ppm
648.3893,648.3876598100001,B.Phosphate.Water.NIL.C10:0_(OH) ketene.C16:0 ketene,2.53,ppm
648.3893,648.38765912,B.Phosphate.C12:0_(OH) acid.C14:0 ketene.NIL.NIL,2.531,ppm
648.3893,648.38765912,B.Phosphate.C14:0_(OH) acid.C12:0 ketene.NIL.NIL,2.531,ppm
648.3893,648.38765881,B.Phosphate.Water.NIL.C12:0_(OH) ketene.C14:0 ketene,2.531,ppm
648.3893,648.38765881,B.Phosphate.Water.NIL.C14:0_(OH) ketene.C12:0 ketene,2.531,ppm
648.3893,648.38765881,B.Phosphate.Water.NIL.C16:0_(OH) ketene.C10:0 ketene,2.531,ppm
448.2127,448.21002911999994,B.Phosphate.C14:1 acid.NIL.NIL.NIL,5.959,ppm
448.2127,448.21002911999994,B.Phosphate.NIL.NIL.C14:0_(OH) ketene.NIL,5.959,ppm
448.2127,448.21002881,B.Phosphate.Water.NIL.C14:1 ketene.NIL,5.96,ppm
