Ion,Hit,Hit Name,Diff.,Mode
1036.66,1036.67014781,02A2.Phosphate.Water.NIL.C16:0_(OH) ketene.C13:0 ketene.C14:0_(OH) acid,9.789,ppm
1036.66,1036.6701478100001,02A2.Phosphate.C14:0_(OH) acid.NIL.C16:0_(OH) ketene.C13:0 ketene.Water,9.789,ppm
1036.66,1036.67014881,02A2.Phosphate.C12:0_(OH) acid.NIL.C16:0_(OH) ketene.C15:0 ketene.Water,9.79,ppm
1036.66,1036.67014881,02A2.Phosphate.C14:0_(OH) acid.NIL.C14:0_(OH) ketene.C15:0 ketene.Water,9.79,ppm
1036.66,1036.67014881,02A2.Phosphate.Water.NIL.C14:0_(OH) ketene.C15:0 ketene.C14:0_(OH) acid,9.79,ppm
1036.66,1036.67014881,02A2.Phosphate.Water.NIL.C16:0_(OH) ketene.C15:0 ketene.C12:0_(OH) acid,9.79,ppm
994.6259,994.6231988100001,02A2.Phosphate.Water.NIL.C10:0_(OH) ketene.C16:0 ketene.C14:0_(OH) acid,2.716,ppm
994.6259,994.62319881,02A2.Phosphate.C12:0_(OH) acid.NIL.C12:0_(OH) ketene.C16:0 ketene.Water,2.716,ppm
994.6259,994.62319881,02A2.Phosphate.C14:0_(OH) acid.NIL.C10:0_(OH) ketene.C16:0 ketene.Water,2.716,ppm
994.6259,994.62319881,02A2.Phosphate.Water.NIL.C12:0_(OH) ketene.C16:0 ketene.C12:0_(OH) acid,2.716,ppm
994.6259,994.62319812,02A2.Phosphate.C12:0_(OH) acid.C14:0 ketene.NIL.NIL.C14:0_(OH) acid,2.716,ppm
994.6259,994.62319812,02A2.Phosphate.C14:0_(OH) acid.C12:0 ketene.NIL.NIL.C14:0_(OH) acid,2.716,ppm
994.6259,994.62319812,02A2.Phosphate.C14:0_(OH) acid.C14:0 ketene.NIL.NIL.C12:0_(OH) acid,2.716,ppm
994.6259,994.6231978100001,02A2.Phosphate.C12:0_(OH) acid.C12:0 ketene.C16:0_(OH) ketene.NIL.Water,2.717,ppm
994.6259,994.6231978100001,02A2.Phosphate.C14:0_(OH) acid.NIL.C16:0_(OH) ketene.C10:0 ketene.Water,2.717,ppm
994.6259,994.62319781,02A2.Phosphate.C12:0_(OH) acid.C14:0 ketene.C14:0_(OH) ketene.NIL.Water,2.717,ppm
994.6259,994.62319781,02A2.Phosphate.C12:0_(OH) acid.NIL.C14:0_(OH) ketene.C14:0 ketene.Water,2.717,ppm
994.6259,994.62319781,02A2.Phosphate.C12:0_(OH) acid.NIL.C16:0_(OH) ketene.C12:0 ketene.Water,2.717,ppm
